date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2022-08-18,0,0,122,0,105,0,0.0,0.0
2022-08-19,0,0,96,0,73,0,0.0,0.0
2022-08-21,0,0,10,0,0,0,0.0,0.0
2022-08-22,0,0,109,0,143,0,0.0,0.0
2022-08-23,0,0,119,0,141,0,0.0,0.0
2022-08-24,0,0,104,0,62,0,0.0,0.0
2022-08-25,0,0,109,0,96,0,0.0,0.0
2022-08-26,0,0,96,0,135,0,0.0,0.0
2022-08-28,0,0,13,0,12,0,0.0,0.0
2022-08-29,0,0,100,0,155,0,0.0,0.0
2022-08-30,0,0,109,0,109,0,0.0,0.0
2022-08-31,0,0,107,0,95,0,0.0,0.0
2022-09-01,0,0,110,0,111,0,0.0,0.0
2022-09-02,0,0,95,0,49,0,0.0,0.0
2022-09-04,0,0,17,0,0,0,0.0,0.0
2022-09-05,0,0,100,0,78,0,0.0,0.0
2022-09-06,0,0,107,0,140,0,0.0,0.0
2022-09-07,0,0,113,0,142,0,0.0,0.0
2022-09-08,0,0,85,0,42,0,0.0,0.0
2022-09-09,0,0,95,0,107,0,0.0,0.0
2022-09-11,0,0,14,0,4,0,0.0,0.0
2022-09-12,0,0,99,0,98,0,0.0,0.0
2022-09-13,0,0,85,0,64,0,0.0,0.0
2022-09-14,0,0,100,0,73,0,0.0,0.0
2022-09-15,0,0,89,0,70,0,0.0,0.0
2022-09-16,0,0,73,0,133,0,0.0,0.0
2022-09-18,0,0,16,0,11,0,0.0,0.0
2022-09-19,0,0,114,0,91,0,0.0,0.0
2022-09-20,0,0,107,0,22,0,0.0,0.0
2022-09-21,0,0,130,0,115,0,0.0,0.0
2022-09-22,0,0,97,0,134,0,0.0,0.0
2022-09-23,0,0,92,0,141,0,0.0,0.0
2022-09-25,0,0,8,0,12,0,0.0,0.0
2022-09-26,0,0,109,0,148,0,0.0,0.0
2022-09-27,0,0,105,0,125,0,0.0,0.0
2022-09-28,0,0,109,0,128,0,0.0,0.0
2022-09-29,0,0,98,0,86,0,0.0,0.0
2022-09-30,0,0,86,0,124,0,0.0,0.0
2022-10-02,0,0,16,0,9,0,0.0,0.0
2022-10-03,0,0,114,0,145,0,0.0,0.0
2022-10-04,0,0,108,0,141,0,0.0,0.0
2022-10-05,0,0,78,0,92,0,0.0,0.0
2022-10-06,0,0,74,0,140,0,0.0,0.0
2022-10-07,0,0,73,0,103,0,0.0,0.0
2022-10-09,0,0,9,0,6,0,0.0,0.0
2022-10-10,0,0,102,0,121,0,0.0,0.0
2022-10-11,0,0,102,0,113,0,0.0,0.0
2022-10-12,0,0,116,0,124,0,0.0,0.0
2022-10-13,0,0,64,0,37,0,0.0,0.0
2022-10-14,0,0,90,0,140,0,0.0,0.0
2022-10-16,0,0,6,0,12,0,0.0,0.0
2022-10-17,0,0,64,0,112,0,0.0,0.0
2022-10-18,0,0,114,0,131,0,0.0,0.0
2022-10-19,0,0,106,0,101,0,0.0,0.0
2022-10-20,0,0,107,0,124,0,0.0,0.0
2022-10-21,0,0,96,0,130,0,0.0,0.0
2022-10-23,0,0,14,0,11,0,0.0,0.0
2022-10-24,0,0,31,0,150,0,0.0,0.0
2022-10-25,0,0,28,0,126,0,0.0,0.0
2022-10-26,0,0,42,0,119,0,0.0,0.0
2022-10-27,0,0,90,0,84,0,0.0,0.0
2022-10-28,0,0,77,0,71,0,0.0,0.0
2022-10-30,0,0,3,0,6,0,0.0,0.0
2022-10-31,0,0,113,0,113,0,0.0,0.0
2022-11-01,0,0,111,0,138,0,0.0,0.0
2022-11-02,0,0,114,0,72,0,0.0,0.0
2022-11-03,0,0,102,0,81,0,0.0,0.0
2022-11-04,0,0,56,0,59,0,0.0,0.0
2022-11-06,0,0,0,0,0,0,0.0,0.0
2022-11-07,0,0,67,0,81,0,0.0,0.0
2022-11-08,0,0,111,0,140,0,0.0,0.0
2022-11-09,0,0,104,0,86,0,0.0,0.0
2022-11-10,0,0,114,0,152,0,0.0,0.0
2022-11-11,0,0,96,0,132,0,0.0,0.0
2022-11-13,0,0,0,0,0,0,0.0,0.0
2022-11-14,0,0,34,0,137,0,0.0,0.0
2022-11-15,0,0,109,0,110,0,0.0,0.0
2022-11-16,0,0,112,0,73,0,0.0,0.0
2022-11-17,0,0,98,0,105,0,0.0,0.0
2022-11-18,0,0,96,0,90,0,0.0,0.0
2022-11-20,0,0,15,0,0,0,0.0,0.0
2022-11-21,0,0,95,0,137,0,0.0,0.0
2022-11-22,0,0,113,0,118,0,0.0,0.0
2022-11-23,0,0,108,0,141,0,0.0,0.0
2022-11-24,0,0,110,0,134,0,0.0,0.0
2022-11-25,0,0,98,0,138,0,0.0,0.0
2022-11-27,0,0,10,0,0,0,0.0,0.0
2022-11-28,0,0,102,0,118,0,0.0,0.0
2022-11-29,0,0,108,0,122,0,0.0,0.0
2022-11-30,0,0,98,0,140,0,0.0,0.0
2022-12-01,0,0,115,0,124,0,0.0,0.0
2022-12-02,0,0,103,0,150,0,0.0,0.0
2022-12-04,0,0,2,0,0,0,0.0,0.0
2022-12-05,0,0,62,0,157,0,0.0,0.0
2022-12-06,0,0,106,0,145,0,0.0,0.0
2022-12-07,0,0,105,0,109,0,0.0,0.0
2022-12-08,0,0,105,0,75,0,0.0,0.0
2022-12-09,0,0,96,0,148,0,0.0,0.0
2022-12-11,0,0,17,0,0,0,0.0,0.0
2022-12-12,0,0,97,0,104,0,0.0,0.0
2022-12-13,0,0,93,0,124,0,0.0,0.0
2022-12-14,0,0,108,0,120,0,0.0,0.0
2022-12-15,0,0,114,0,151,0,0.0,0.0
2022-12-16,0,0,96,0,122,0,0.0,0.0
2022-12-18,0,0,12,0,0,0,0.0,0.0
2022-12-19,0,0,32,0,142,0,0.0,0.0
2022-12-20,0,0,109,0,121,0,0.0,0.0
2022-12-21,0,0,96,0,141,0,0.0,0.0
2022-12-22,0,0,110,0,126,0,0.0,0.0
2022-12-23,0,0,95,0,107,0,0.0,0.0
2022-12-25,0,0,11,0,0,0,0.0,0.0
2022-12-26,0,0,191,0,72,0,0.0,0.0
2022-12-27,0,0,82,0,126,0,0.0,0.0
2022-12-28,0,0,115,0,133,0,0.0,0.0
2022-12-29,0,0,109,0,120,0,0.0,0.0
2022-12-30,0,0,96,0,96,0,0.0,0.0
2023-01-01,0,0,8,0,0,0,0.0,0.0
2023-01-02,0,0,62,0,93,0,0.0,0.0
2023-01-03,0,0,114,0,66,0,0.0,0.0
2023-01-04,0,0,111,0,151,0,0.0,0.0
2023-01-05,0,0,103,0,51,0,0.0,0.0
2023-01-06,0,0,96,0,130,0,0.0,0.0
2023-01-08,0,0,17,0,0,0,0.0,0.0
2023-01-09,0,0,100,0,119,0,0.0,0.0
2023-01-10,0,0,72,0,107,0,0.0,0.0
2023-01-11,0,0,103,0,110,0,0.0,0.0
2023-01-12,0,0,107,0,147,0,0.0,0.0
2023-01-13,0,0,82,0,126,0,0.0,0.0
2023-01-15,0,0,15,0,0,0,0.0,0.0
2023-01-16,0,0,114,0,47,0,0.0,0.0
2023-01-17,0,0,115,0,132,0,0.0,0.0
2023-01-18,0,0,101,0,91,0,0.0,0.0
2023-01-19,0,0,99,0,81,0,0.0,0.0
2023-01-20,0,0,96,0,156,0,0.0,0.0
2023-01-22,0,0,16,0,0,0,0.0,0.0
2023-01-23,0,0,108,0,148,0,0.0,0.0
2023-01-24,0,0,110,0,152,0,0.0,0.0
2023-01-25,0,0,110,0,143,0,0.0,0.0
2023-01-26,0,0,110,0,142,0,0.0,0.0
2023-01-27,0,0,96,0,46,0,0.0,0.0
2023-01-29,0,0,6,0,0,0,0.0,0.0
2023-01-30,0,0,112,0,137,0,0.0,0.0
2023-01-31,0,0,113,0,144,0,0.0,0.0
2023-02-01,0,0,110,0,148,0,0.0,0.0
2023-02-02,0,0,110,0,120,0,0.0,0.0
2023-02-03,0,0,89,0,144,0,0.0,0.0
2023-02-05,0,0,4,0,0,0,0.0,0.0
2023-02-06,0,0,17,0,141,0,0.0,0.0
2023-02-07,0,0,92,0,126,0,0.0,0.0
2023-02-08,0,0,91,0,107,0,0.0,0.0
2023-02-09,0,0,99,0,134,0,0.0,0.0
2023-02-10,0,0,94,0,139,0,0.0,0.0
2023-02-12,0,0,13,0,0,0,0.0,0.0
2023-02-13,0,0,104,0,100,0,0.0,0.0
2023-02-14,0,0,110,0,132,0,0.0,0.0
2023-02-15,0,0,105,0,134,0,0.0,0.0
2023-02-16,0,0,105,0,114,0,0.0,0.0
2023-02-17,0,0,96,0,130,0,0.0,0.0
2023-02-19,0,0,15,0,0,0,0.0,0.0
2023-02-20,0,0,137,0,49,0,0.0,0.0
2023-02-21,0,0,106,0,85,0,0.0,0.0
2023-02-22,0,0,106,0,144,0,0.0,0.0
2023-02-23,0,0,99,0,133,0,0.0,0.0
2023-02-24,0,0,74,0,153,0,0.0,0.0
2023-02-26,0,0,12,0,0,0,0.0,0.0
2023-02-27,0,0,98,0,140,0,0.0,0.0
2023-02-28,0,0,98,0,108,0,0.0,0.0
2023-03-01,0,0,112,0,155,0,0.0,0.0
2023-03-02,0,0,98,0,90,0,0.0,0.0
2023-03-03,0,0,58,0,123,0,0.0,0.0
2023-03-05,0,0,16,0,0,0,0.0,0.0
2023-03-06,0,0,111,0,97,0,0.0,0.0
2023-03-07,0,0,109,0,139,0,0.0,0.0
2023-03-08,0,0,107,0,73,0,0.0,0.0
2023-03-09,0,0,111,0,129,0,0.0,0.0
2023-03-10,0,0,96,0,157,0,0.0,0.0
2023-03-12,0,0,4,0,12,0,0.0,0.0
2023-03-13,0,0,27,0,147,0,0.0,0.0
2023-03-14,0,0,108,0,76,0,0.0,0.0
2023-03-15,0,0,104,0,145,0,0.0,0.0
2023-03-16,0,0,108,0,98,0,0.0,0.0
2023-03-17,0,0,96,0,96,0,0.0,0.0
2023-03-19,0,0,18,0,12,0,0.0,0.0
2023-03-20,0,0,81,0,78,0,0.0,0.0
2023-03-21,0,0,96,0,136,0,0.0,0.0
2023-03-22,0,0,94,0,122,0,0.0,0.0
2023-03-23,0,0,108,0,135,0,0.0,0.0
2023-03-24,0,0,95,0,116,0,0.0,0.0
2023-03-26,0,0,3,0,12,0,0.0,0.0
2023-03-27,0,0,64,0,121,0,0.0,0.0
2023-03-28,0,0,111,0,105,0,0.0,0.0
2023-03-29,0,0,114,0,145,0,0.0,0.0
2023-03-30,0,0,112,0,141,0,0.0,0.0
2023-03-31,0,0,96,0,110,0,0.0,0.0
2023-04-02,0,0,1,0,12,0,0.0,0.0
2023-04-03,0,0,100,0,147,0,0.0,0.0
2023-04-04,0,0,110,0,148,0,0.0,0.0
2023-04-05,0,0,97,0,108,0,0.0,0.0
2023-04-06,0,0,95,0,88,0,0.0,0.0
2023-04-07,0,0,70,0,59,0,0.0,0.0
2023-04-09,0,0,5,0,0,0,0.0,0.0
2023-04-10,0,0,101,0,141,0,0.0,0.0
2023-04-11,0,0,115,0,124,0,0.0,0.0
2023-04-12,0,0,108,0,134,0,0.0,0.0
2023-04-13,0,0,49,0,117,0,0.0,0.0
2023-04-14,0,0,93,0,143,0,0.0,0.0
2023-04-16,0,0,17,0,10,0,0.0,0.0
2023-04-17,0,0,83,0,123,0,0.0,0.0
2023-04-18,0,0,91,0,137,0,0.0,0.0
2023-04-19,0,0,95,0,135,0,0.0,0.0
2023-04-20,0,0,80,0,90,0,0.0,0.0
2023-04-21,0,0,95,0,141,0,0.0,0.0
2023-04-23,0,0,17,0,12,0,0.0,0.0
2023-04-24,0,0,91,0,141,0,0.0,0.0
2023-04-25,0,0,88,0,111,0,0.0,0.0
2023-04-26,0,0,108,0,96,0,0.0,0.0
2023-04-27,0,0,78,0,56,0,0.0,0.0
2023-04-28,0,0,88,0,131,0,0.0,0.0
2023-04-30,0,0,11,0,12,0,0.0,0.0
2023-05-01,0,0,107,0,136,0,0.0,0.0
2023-05-02,0,0,104,0,139,0,0.0,0.0
2023-05-03,0,0,96,0,110,0,0.0,0.0
2023-05-04,0,0,40,0,141,0,0.0,0.0
2023-05-05,0,0,96,0,66,0,0.0,0.0
2023-05-07,0,0,18,0,0,0,0.0,0.0
2023-05-08,0,0,89,0,132,0,0.0,0.0
2023-05-09,0,0,95,0,83,0,0.0,0.0
2023-05-10,0,0,101,0,71,0,0.0,0.0
2023-05-11,0,0,104,0,141,0,0.0,0.0
2023-05-12,0,0,84,0,106,0,0.0,0.0
2023-05-14,0,0,6,0,12,0,0.0,0.0
2023-05-15,0,0,97,0,69,0,0.0,0.0
2023-05-16,0,0,109,0,141,0,0.0,0.0
2023-05-17,0,0,98,0,127,0,0.0,0.0
2023-05-18,0,0,93,0,107,0,0.0,0.0
2023-05-19,0,0,96,0,127,0,0.0,0.0
2023-05-21,0,0,19,0,12,0,0.0,0.0
2023-05-22,0,0,82,0,113,0,0.0,0.0
2023-05-23,0,0,103,0,37,0,0.0,0.0
2023-05-24,0,0,110,0,138,0,0.0,0.0
2023-05-25,0,0,101,0,133,0,0.0,0.0
2023-05-26,0,0,90,0,127,0,0.0,0.0
2023-05-28,0,0,2,0,12,0,0.0,0.0
2023-05-29,0,0,136,0,125,0,0.0,0.0
2023-05-30,0,0,90,0,73,0,0.0,0.0
2023-05-31,0,0,87,0,130,0,0.0,0.0
2023-06-01,0,0,90,0,144,0,0.0,0.0
2023-06-02,0,0,92,0,136,0,0.0,0.0
2023-06-04,0,0,12,0,12,0,0.0,0.0
2023-06-05,0,0,91,0,107,0,0.0,0.0
2023-06-06,0,0,75,0,83,0,0.0,0.0
2023-06-07,0,0,110,0,154,0,0.0,0.0
2023-06-08,0,0,110,0,137,0,0.0,0.0
2023-06-09,0,0,96,0,90,0,0.0,0.0
2023-06-11,0,0,9,0,4,0,0.0,0.0
2023-06-12,0,0,85,0,156,0,0.0,0.0
2023-06-13,0,0,109,0,116,0,0.0,0.0
2023-06-14,0,0,110,0,126,0,0.0,0.0
2023-06-15,0,0,125,0,121,0,0.0,0.0
2023-06-16,0,0,95,0,139,0,0.0,0.0
2023-06-18,0,0,8,0,12,0,0.0,0.0
2023-06-19,0,0,103,0,105,0,0.0,0.0
2023-06-20,0,0,104,0,154,0,0.0,0.0
2023-06-21,0,0,114,0,132,0,0.0,0.0
2023-06-22,0,0,84,0,140,0,0.0,0.0
2023-06-23,0,0,90,0,143,0,0.0,0.0
2023-06-25,0,0,13,0,11,0,0.0,0.0
2023-06-26,0,0,118,0,115,0,0.0,0.0
2023-06-27,0,0,112,0,121,0,0.0,0.0
2023-06-28,0,0,95,0,86,0,0.0,0.0
2023-06-29,0,0,82,0,48,0,0.0,0.0
2023-06-30,0,0,90,0,129,0,0.0,0.0
2023-07-02,0,0,12,0,12,0,0.0,0.0
2023-07-03,0,0,123,0,103,0,0.0,0.0
2023-07-04,0,0,108,0,125,0,0.0,0.0
2023-07-05,0,0,123,0,114,0,0.0,0.0
2023-07-06,0,0,110,0,88,0,0.0,0.0
2023-07-07,0,0,94,0,133,0,0.0,0.0
2023-07-09,0,0,0,0,10,0,0.0,0.0
2023-07-10,0,0,108,0,132,0,0.0,0.0
2023-07-11,0,0,111,0,105,0,0.0,0.0
2023-07-12,0,0,113,0,125,0,0.0,0.0
2023-07-13,0,0,103,0,137,0,0.0,0.0
2023-07-14,0,0,95,0,112,0,0.0,0.0
2023-07-16,0,0,3,0,11,0,0.0,0.0
2023-07-17,0,0,111,0,131,0,0.0,0.0
2023-07-18,0,0,113,0,131,0,0.0,0.0
2023-07-19,0,0,109,0,112,0,0.0,0.0
2023-07-20,0,0,115,0,143,0,0.0,0.0
2023-07-21,0,0,93,0,97,0,0.0,0.0
2023-07-23,0,0,11,0,12,0,0.0,0.0
2023-07-24,0,0,118,0,148,0,0.0,0.0
2023-07-25,0,0,82,0,113,0,0.0,0.0
2023-07-26,0,0,107,0,141,0,0.0,0.0
2023-07-27,0,0,99,0,139,0,0.0,0.0
2023-07-28,0,0,49,0,122,0,0.0,0.0
2023-07-30,0,0,16,0,12,0,0.0,0.0
2023-07-31,0,0,103,0,96,0,0.0,0.0
2023-08-01,0,0,99,0,125,0,0.0,0.0
2023-08-02,0,0,89,0,130,0,0.0,0.0
2023-08-03,0,0,105,0,94,0,0.0,0.0
2023-08-04,0,0,91,0,123,0,0.0,0.0
2023-08-06,0,0,14,0,12,0,0.0,0.0
2023-08-07,0,0,114,0,114,0,0.0,0.0
2023-08-08,0,0,113,0,104,0,0.0,0.0
2023-08-09,0,0,107,0,140,0,0.0,0.0
2023-08-10,0,0,110,0,120,0,0.0,0.0
2023-08-11,0,0,74,0,80,0,0.0,0.0
2023-08-13,0,0,9,0,11,0,0.0,0.0
2023-08-14,0,0,66,0,119,0,0.0,0.0
2023-08-15,0,0,93,0,75,0,0.0,0.0
2023-08-16,0,0,103,0,123,0,0.0,0.0
2023-08-17,0,0,114,0,132,0,0.0,0.0
2023-08-18,0,0,96,0,127,0,0.0,0.0
2023-08-20,0,0,7,0,12,0,0.0,0.0
2023-08-21,0,0,58,0,118,0,0.0,0.0
2023-08-22,0,0,107,0,139,0,0.0,0.0
2023-08-23,0,0,109,0,147,0,0.0,0.0
2023-08-24,0,0,108,0,85,0,0.0,0.0
2023-08-25,0,0,95,0,126,0,0.0,0.0
2023-08-27,0,0,17,0,11,0,0.0,0.0
2023-08-28,0,0,99,0,60,0,0.0,0.0
2023-08-29,0,0,88,0,155,0,0.0,0.0
2023-08-30,0,0,125,0,109,0,0.0,0.0
2023-08-31,0,0,99,0,121,0,0.0,0.0
2023-09-01,0,0,78,0,107,0,0.0,0.0
2023-09-03,0,0,15,0,11,0,0.0,0.0
2023-09-04,0,0,141,0,42,0,0.0,0.0
2023-09-05,0,0,112,0,152,0,0.0,0.0
2023-09-06,0,0,111,0,138,0,0.0,0.0
2023-09-07,0,0,99,0,58,0,0.0,0.0
2023-09-08,0,0,115,0,99,0,0.0,0.0
2023-09-10,0,0,0,0,12,0,0.0,0.0
2023-09-11,0,0,76,0,92,0,0.0,0.0
2023-09-12,0,0,107,0,82,0,0.0,0.0
2023-09-13,0,0,105,0,70,0,0.0,0.0
2023-09-14,0,0,118,0,79,0,0.0,0.0
2023-09-15,0,0,73,0,54,0,0.0,0.0
2023-09-17,0,0,18,0,12,0,0.0,0.0
2023-09-18,0,0,122,0,114,0,0.0,0.0
2023-09-19,0,0,127,0,113,0,0.0,0.0
2023-09-20,0,0,106,0,155,0,0.0,0.0
2023-09-21,0,0,103,0,138,0,0.0,0.0
2023-09-22,0,0,115,0,92,0,0.0,0.0
2023-09-24,0,0,13,0,7,0,0.0,0.0
2023-09-25,0,0,72,0,130,0,0.0,0.0
2023-09-26,0,0,106,0,89,0,0.0,0.0
2023-09-27,0,0,72,0,139,0,0.0,0.0
2023-09-28,0,0,102,0,89,0,0.0,0.0
2023-09-29,0,0,102,0,131,0,0.0,0.0
2023-10-01,0,0,17,0,12,0,0.0,0.0
2023-10-02,0,0,117,0,123,0,0.0,0.0
2023-10-03,0,0,146,0,110,0,0.0,0.0
2023-10-04,0,0,101,0,127,0,0.0,0.0
2023-10-05,0,0,120,0,126,0,0.0,0.0
2023-10-06,0,0,96,0,70,0,0.0,0.0
2023-10-08,0,0,5,0,12,0,0.0,0.0
2023-10-09,0,0,27,0,125,0,0.0,0.0
2023-10-10,0,0,109,0,134,0,0.0,0.0
2023-10-11,0,0,103,0,115,0,0.0,0.0
2023-10-12,0,0,119,0,100,0,0.0,0.0
2023-10-13,0,0,90,0,77,0,0.0,0.0
2023-10-15,0,0,14,0,11,0,0.0,0.0
2023-10-16,0,0,63,0,92,0,0.0,0.0
2023-10-17,0,0,69,0,67,0,0.0,0.0
2023-10-18,0,0,117,0,139,0,0.0,0.0
2023-10-19,0,0,109,0,65,0,0.0,0.0
2023-10-20,0,0,119,0,63,0,0.0,0.0
2023-10-22,0,0,2,0,12,0,0.0,0.0
2023-10-23,0,0,130,0,102,0,0.0,0.0
2023-10-24,0,0,117,0,104,0,0.0,0.0
2023-10-25,0,0,163,0,43,0,0.0,0.0
2023-10-26,0,0,97,0,132,0,0.0,0.0
2023-10-27,0,0,95,0,126,0,0.0,0.0
2023-10-29,0,0,17,0,12,0,0.0,0.0
2023-10-30,0,0,72,0,142,0,0.0,0.0
2023-10-31,0,0,115,0,146,0,0.0,0.0
2023-11-01,0,0,115,0,146,0,0.0,0.0
2023-11-02,0,0,106,0,146,0,0.0,0.0
2023-11-03,0,0,90,0,67,0,0.0,0.0
2023-11-05,0,0,13,0,0,0,0.0,0.0
2023-11-06,0,0,130,0,51,0,0.0,0.0
2023-11-07,0,0,95,0,90,0,0.0,0.0
2023-11-08,0,0,123,0,109,0,0.0,0.0
2023-11-09,0,0,66,0,109,0,0.0,0.0
2023-11-10,0,0,97,0,132,0,0.0,0.0
2023-11-12,0,0,18,0,0,0,0.0,0.0
2023-11-13,0,0,125,0,91,0,0.0,0.0
2023-11-14,0,0,116,0,94,0,0.0,0.0
2023-11-15,0,0,104,0,153,0,0.0,0.0
2023-11-16,0,0,67,0,143,0,0.0,0.0
2023-11-17,0,0,29,0,157,0,0.0,0.0
2023-11-19,0,0,17,0,0,0,0.0,0.0
2023-11-20,0,0,101,0,86,0,0.0,0.0
2023-11-21,0,0,109,0,142,0,0.0,0.0
2023-11-22,0,0,109,0,125,0,0.0,0.0
2023-11-23,0,0,126,0,84,0,0.0,0.0
2023-11-24,0,0,106,0,71,0,0.0,0.0
2023-11-26,0,0,12,0,0,0,0.0,0.0
2023-11-27,0,0,106,0,103,0,0.0,0.0
2023-11-28,0,0,113,0,117,0,0.0,0.0
2023-11-29,0,0,112,0,141,0,0.0,0.0
2023-11-30,0,0,87,0,152,0,0.0,0.0
2023-12-01,0,0,96,0,127,0,0.0,0.0
2023-12-03,0,0,13,0,0,0,0.0,0.0
2023-12-04,0,0,99,0,150,0,0.0,0.0
2023-12-05,0,0,82,0,151,0,0.0,0.0
2023-12-06,0,0,102,0,90,0,0.0,0.0
2023-12-07,0,0,127,0,142,0,0.0,0.0
2023-12-08,0,0,106,0,138,0,0.0,0.0
2023-12-10,0,0,6,0,0,0,0.0,0.0
2023-12-11,0,0,109,0,77,0,0.0,0.0
2023-12-12,0,0,110,0,143,0,0.0,0.0
2023-12-13,0,0,119,0,118,0,0.0,0.0
2023-12-14,0,0,110,0,78,0,0.0,0.0
2023-12-15,0,0,93,0,146,0,0.0,0.0
2023-12-17,0,0,18,0,0,0,0.0,0.0
2023-12-18,0,0,109,0,140,0,0.0,0.0
2023-12-19,0,0,115,0,151,0,0.0,0.0
2023-12-20,0,0,106,0,135,0,0.0,0.0
2023-12-21,0,0,101,0,146,0,0.0,0.0
2023-12-22,0,0,98,0,146,0,0.0,0.0
2023-12-24,0,0,0,0,0,0,0.0,0.0
2023-12-25,0,0,91,0,0,0,0.0,0.0
2023-12-26,0,0,82,0,127,0,0.0,0.0
2023-12-27,0,0,104,0,94,0,0.0,0.0
2023-12-28,0,0,106,0,125,0,0.0,0.0
2023-12-29,0,0,82,0,149,0,0.0,0.0
2024-01-01,0,0,12,0,0,0,0.0,0.0
2024-01-02,0,0,110,0,126,0,0.0,0.0
2024-01-03,0,0,89,0,145,0,0.0,0.0
2024-01-04,0,0,110,0,155,0,0.0,0.0
2024-01-05,0,0,96,0,152,0,0.0,0.0
2024-01-07,0,0,12,0,0,0,0.0,0.0
2024-01-08,0,0,64,0,130,0,0.0,0.0
2024-01-09,0,0,112,0,135,0,0.0,0.0
2024-01-10,0,0,102,0,133,0,0.0,0.0
2024-01-11,0,0,133,0,103,0,0.0,0.0
2024-01-12,0,0,96,0,135,0,0.0,0.0
2024-01-14,0,0,16,0,0,0,0.0,0.0
2024-01-15,0,0,149,0,113,0,0.0,0.0
2024-01-16,0,0,114,0,152,0,0.0,0.0
2024-01-17,0,0,96,0,134,0,0.0,0.0
2024-01-18,0,0,97,0,135,0,0.0,0.0
2024-01-19,0,0,95,0,126,0,0.0,0.0
2024-01-21,0,0,1,0,0,0,0.0,0.0
2024-01-22,0,0,69,0,131,0,0.0,0.0
2024-01-23,0,0,91,0,144,0,0.0,0.0
2024-01-24,0,0,107,0,131,0,0.0,0.0
2024-01-25,0,0,108,0,124,0,0.0,0.0
2024-01-26,0,0,71,0,141,0,0.0,0.0
2024-01-28,0,0,15,0,0,0,0.0,0.0
2024-01-29,0,0,110,0,112,0,0.0,0.0
2024-01-30,0,0,112,0,92,0,0.0,0.0
2024-01-31,0,0,106,0,156,0,0.0,0.0
2024-02-01,0,0,99,0,133,0,0.0,0.0
2024-02-02,0,0,33,0,146,0,0.0,0.0
2024-02-04,0,0,12,0,0,0,0.0,0.0
2024-02-05,0,0,61,0,101,0,0.0,0.0
2024-02-06,0,0,114,0,136,0,0.0,0.0
2024-02-07,0,0,99,0,90,0,0.0,0.0
2024-02-08,0,0,101,0,128,0,0.0,0.0
2024-02-09,0,0,92,0,118,0,0.0,0.0
2024-02-11,0,0,12,0,0,0,0.0,0.0
2024-02-12,0,0,88,0,124,0,0.0,0.0
2024-02-13,0,0,124,0,121,0,0.0,0.0
2024-02-14,0,0,111,0,111,0,0.0,0.0
2024-02-15,0,0,108,0,83,0,0.0,0.0
2024-02-16,0,0,97,0,114,0,0.0,0.0
2024-02-18,0,0,3,0,0,0,0.0,0.0
2024-02-19,0,0,174,0,35,0,0.0,0.0
2024-02-20,0,0,106,0,152,0,0.0,0.0
2024-02-21,0,0,105,0,133,0,0.0,0.0
2024-02-22,0,0,101,0,147,0,0.0,0.0
2024-02-23,0,0,89,0,90,0,0.0,0.0
2024-02-25,0,0,11,0,0,0,0.0,0.0
2024-02-26,0,0,51,0,126,0,0.0,0.0
2024-02-27,0,0,109,0,134,0,0.0,0.0
2024-02-28,0,0,110,0,78,0,0.0,0.0
2024-02-29,0,0,110,0,151,0,0.0,0.0
2024-03-01,0,0,112,0,122,0,0.0,0.0
2024-03-03,0,0,15,0,0,0,0.0,0.0
2024-03-04,0,0,103,0,53,0,0.0,0.0
2024-03-05,0,0,78,0,102,0,0.0,0.0
2024-03-06,0,0,102,0,147,0,0.0,0.0
2024-03-07,0,0,118,0,122,0,0.0,0.0
2024-03-08,0,0,88,0,76,0,0.0,0.0
2024-03-10,0,0,12,0,5,0,0.0,0.0
