date,breakouts,gate_pass,gate_block,ev_pass,ev_reject,fills,wins,pnl_pips
2024-03-11,0,0,77,0,120,0,0.0,0.0
2024-03-12,0,0,101,0,31,0,0.0,0.0
2024-03-13,0,0,99,0,150,0,0.0,0.0
2024-03-14,0,0,117,0,126,0,0.0,0.0
2024-03-15,0,0,102,0,99,0,0.0,0.0
2024-03-17,0,0,1,0,12,0,0.0,0.0
2024-03-18,0,0,119,0,89,0,0.0,0.0
2024-03-19,0,0,133,0,117,0,0.0,0.0
2024-03-20,0,0,129,0,131,0,0.0,0.0
2024-03-21,0,0,125,0,116,0,0.0,0.0
2024-03-22,0,0,106,0,117,0,0.0,0.0
2024-03-24,0,0,14,0,11,0,0.0,0.0
2024-03-25,0,0,126,0,103,0,0.0,0.0
2024-03-26,0,0,107,0,114,0,0.0,0.0
2024-03-27,0,0,122,0,105,0,0.0,0.0
2024-03-28,0,0,94,0,57,0,0.0,0.0
2024-03-29,0,0,128,0,49,0,0.0,0.0
2024-03-31,0,0,17,0,5,0,0.0,0.0
2024-04-01,0,0,165,0,79,0,0.0,0.0
2024-04-02,0,0,133,0,63,0,0.0,0.0
2024-04-03,0,0,131,0,102,0,0.0,0.0
2024-04-04,0,0,118,0,70,0,0.0,0.0
2024-04-05,0,0,84,0,75,0,0.0,0.0
2024-04-07,0,0,0,0,12,0,0.0,0.0
2024-04-08,0,0,143,0,55,0,0.0,0.0
2024-04-09,0,0,149,0,85,0,0.0,0.0
2024-04-10,0,0,111,0,96,0,0.0,0.0
2024-04-11,0,0,88,0,132,0,0.0,0.0
2024-04-12,0,0,76,0,128,0,0.0,0.0
2024-04-14,0,0,11,0,12,0,0.0,0.0
2024-04-15,0,0,98,0,26,0,0.0,0.0
2024-04-16,0,0,98,0,107,0,0.0,0.0
2024-04-17,0,0,97,0,106,0,0.0,0.0
2024-04-18,0,0,125,0,118,0,0.0,0.0
2024-04-19,0,0,113,0,51,0,0.0,0.0
2024-04-21,0,0,0,0,7,0,0.0,0.0
2024-04-22,0,0,173,0,32,0,0.0,0.0
2024-04-23,0,0,123,0,83,0,0.0,0.0
2024-04-24,0,0,124,0,107,0,0.0,0.0
2024-04-25,0,0,103,0,41,0,0.0,0.0
2024-04-26,0,0,87,0,117,0,0.0,0.0
2024-04-28,0,0,0,0,12,0,0.0,0.0
2024-04-29,0,0,89,0,122,0,0.0,0.0
2024-04-30,0,0,101,0,104,0,0.0,0.0
2024-05-01,0,0,126,0,80,0,0.0,0.0
2024-05-02,0,0,108,0,152,0,0.0,0.0
2024-05-03,0,0,96,0,139,0,0.0,0.0
2024-05-05,0,0,18,0,12,0,0.0,0.0
2024-05-06,0,0,123,0,134,0,0.0,0.0
2024-05-07,0,0,112,0,147,0,0.0,0.0
2024-05-08,0,0,132,0,75,0,0.0,0.0
2024-05-09,0,0,103,0,128,0,0.0,0.0
2024-05-10,0,0,107,0,65,0,0.0,0.0
2024-05-12,0,0,18,0,1,0,0.0,0.0
2024-05-13,0,0,162,0,58,0,0.0,0.0
2024-05-14,0,0,112,0,21,0,0.0,0.0
2024-05-15,0,0,97,0,148,0,0.0,0.0
2024-05-16,0,0,112,0,65,0,0.0,0.0
2024-05-17,0,0,99,0,105,0,0.0,0.0
2024-05-19,0,0,19,0,12,0,0.0,0.0
2024-05-20,0,0,128,0,92,0,0.0,0.0
2024-05-21,0,0,113,0,74,0,0.0,0.0
2024-05-22,0,0,103,0,88,0,0.0,0.0
2024-05-23,0,0,70,0,137,0,0.0,0.0
2024-05-24,0,0,138,0,91,0,0.0,0.0
2024-05-26,0,0,2,0,12,0,0.0,0.0
2024-05-27,0,0,132,0,67,0,0.0,0.0
2024-05-28,0,0,107,0,140,0,0.0,0.0
2024-05-29,0,0,137,0,96,0,0.0,0.0
2024-05-30,0,0,133,0,93,0,0.0,0.0
2024-05-31,0,0,80,0,116,0,0.0,0.0
2024-06-02,0,0,5,0,12,0,0.0,0.0
2024-06-03,0,0,73,0,148,0,0.0,0.0
2024-06-04,0,0,112,0,138,0,0.0,0.0
2024-06-05,0,0,110,0,79,0,0.0,0.0
2024-06-06,0,0,105,0,150,0,0.0,0.0
2024-06-07,0,0,95,0,70,0,0.0,0.0
2024-06-09,0,0,1,0,2,0,0.0,0.0
2024-06-10,0,0,118,0,72,0,0.0,0.0
2024-06-11,0,0,114,0,141,0,0.0,0.0
2024-06-12,0,0,139,0,101,0,0.0,0.0
2024-06-13,0,0,113,0,95,0,0.0,0.0
2024-06-14,0,0,96,0,71,0,0.0,0.0
2024-06-16,0,0,16,0,5,0,0.0,0.0
2024-06-17,0,0,46,0,108,0,0.0,0.0
2024-06-18,0,0,86,0,44,0,0.0,0.0
2024-06-19,0,0,130,0,80,0,0.0,0.0
2024-06-20,0,0,116,0,113,0,0.0,0.0
2024-06-21,0,0,86,0,135,0,0.0,0.0
2024-06-23,0,0,13,0,12,0,0.0,0.0
2024-06-24,0,0,62,0,141,0,0.0,0.0
2024-06-25,0,0,120,0,73,0,0.0,0.0
2024-06-26,0,0,118,0,139,0,0.0,0.0
2024-06-27,0,0,148,0,108,0,0.0,0.0
2024-06-28,0,0,95,0,136,0,0.0,0.0
2024-06-30,0,0,7,0,12,0,0.0,0.0
2024-07-01,0,0,77,0,133,0,0.0,0.0
2024-07-02,0,0,136,0,91,0,0.0,0.0
2024-07-03,0,0,128,0,88,0,0.0,0.0
2024-07-04,0,0,110,0,117,0,0.0,0.0
2024-07-05,0,0,111,0,84,0,0.0,0.0
2024-07-07,0,0,7,0,10,0,0.0,0.0
2024-07-08,0,0,115,0,118,0,0.0,0.0
2024-07-09,0,0,134,0,131,0,0.0,0.0
2024-07-10,0,0,134,0,95,0,0.0,0.0
2024-07-11,0,0,119,0,100,0,0.0,0.0
2024-07-12,0,0,40,0,36,0,0.0,0.0
2024-07-14,0,0,16,0,0,0,0.0,0.0
2024-07-15,0,0,56,0,134,0,0.0,0.0
2024-07-16,0,0,105,0,138,0,0.0,0.0
2024-07-17,0,0,96,0,128,0,0.0,0.0
2024-07-18,0,0,105,0,133,0,0.0,0.0
2024-07-19,0,0,101,0,96,0,0.0,0.0
2024-07-21,0,0,16,0,12,0,0.0,0.0
2024-07-22,0,0,86,0,131,0,0.0,0.0
2024-07-23,0,0,113,0,103,0,0.0,0.0
2024-07-24,0,0,101,0,120,0,0.0,0.0
2024-07-25,0,0,111,0,55,0,0.0,0.0
2024-07-26,0,0,96,0,58,0,0.0,0.0
2024-07-28,0,0,16,0,4,0,0.0,0.0
2024-07-29,0,0,110,0,51,0,0.0,0.0
2024-07-30,0,0,106,0,105,0,0.0,0.0
2024-07-31,0,0,107,0,105,0,0.0,0.0
2024-08-01,0,0,102,0,139,0,0.0,0.0
2024-08-02,0,0,72,0,124,0,0.0,0.0
2024-08-04,0,0,9,0,12,0,0.0,0.0
2024-08-05,0,0,113,0,149,0,0.0,0.0
2024-08-06,0,0,98,0,80,0,0.0,0.0
2024-08-07,0,0,106,0,147,0,0.0,0.0
2024-08-08,0,0,88,0,68,0,0.0,0.0
2024-08-09,0,0,89,0,39,0,0.0,0.0
2024-08-11,0,0,13,0,7,0,0.0,0.0
2024-08-12,0,0,65,0,122,0,0.0,0.0
2024-08-13,0,0,111,0,99,0,0.0,0.0
2024-08-14,0,0,112,0,103,0,0.0,0.0
2024-08-15,0,0,88,0,44,0,0.0,0.0
2024-08-16,0,0,84,0,109,0,0.0,0.0
2024-08-18,0,0,12,0,12,0,0.0,0.0
2024-08-19,0,0,100,0,80,0,0.0,0.0
2024-08-20,0,0,109,0,115,0,0.0,0.0
2024-08-21,0,0,104,0,129,0,0.0,0.0
2024-08-22,0,0,103,0,148,0,0.0,0.0
2024-08-23,0,0,95,0,145,0,0.0,0.0
2024-08-25,0,0,16,0,12,0,0.0,0.0
2024-08-26,0,0,103,0,147,0,0.0,0.0
2024-08-27,0,0,98,0,146,0,0.0,0.0
2024-08-28,0,0,105,0,138,0,0.0,0.0
2024-08-29,0,0,94,0,121,0,0.0,0.0
2024-08-30,0,0,77,0,135,0,0.0,0.0
2024-09-01,0,0,19,0,11,0,0.0,0.0
2024-09-02,0,0,91,0,86,0,0.0,0.0
2024-09-03,0,0,115,0,56,0,0.0,0.0
2024-09-04,0,0,89,0,126,0,0.0,0.0
2024-09-05,0,0,101,0,144,0,0.0,0.0
2024-09-06,0,0,96,0,135,0,0.0,0.0
2024-09-08,0,0,10,0,12,0,0.0,0.0
2024-09-09,0,0,108,0,112,0,0.0,0.0
2024-09-10,0,0,100,0,150,0,0.0,0.0
2024-09-11,0,0,114,0,70,0,0.0,0.0
2024-09-12,0,0,108,0,108,0,0.0,0.0
2024-09-13,0,0,96,0,72,0,0.0,0.0
2024-09-15,0,0,11,0,10,0,0.0,0.0
2024-09-16,0,0,81,0,137,0,0.0,0.0
2024-09-17,0,0,107,0,135,0,0.0,0.0
2024-09-18,0,0,115,0,119,0,0.0,0.0
2024-09-19,0,0,113,0,137,0,0.0,0.0
2024-09-20,0,0,96,0,119,0,0.0,0.0
2024-09-22,0,0,10,0,2,0,0.0,0.0
2024-09-23,0,0,103,0,120,0,0.0,0.0
2024-09-24,0,0,102,0,146,0,0.0,0.0
2024-09-25,0,0,103,0,140,0,0.0,0.0
2024-09-26,0,0,107,0,136,0,0.0,0.0
2024-09-27,0,0,96,0,76,0,0.0,0.0
2024-09-29,0,0,19,0,9,0,0.0,0.0
2024-09-30,0,0,77,0,147,0,0.0,0.0
2024-10-01,0,0,112,0,144,0,0.0,0.0
2024-10-02,0,0,102,0,157,0,0.0,0.0
2024-10-03,0,0,95,0,130,0,0.0,0.0
2024-10-04,0,0,94,0,112,0,0.0,0.0
2024-10-06,0,0,0,0,1,0,0.0,0.0
2024-10-07,0,0,115,0,50,0,0.0,0.0
2024-10-08,0,0,105,0,154,0,0.0,0.0
2024-10-09,0,0,92,0,140,0,0.0,0.0
2024-10-10,0,0,76,0,81,0,0.0,0.0
2024-10-11,0,0,92,0,80,0,0.0,0.0
2024-10-13,0,0,17,0,9,0,0.0,0.0
2024-10-14,0,0,66,0,97,0,0.0,0.0
2024-10-15,0,0,110,0,101,0,0.0,0.0
2024-10-16,0,0,108,0,125,0,0.0,0.0
2024-10-17,0,0,112,0,143,0,0.0,0.0
2024-10-18,0,0,96,0,135,0,0.0,0.0
2024-10-20,0,0,6,0,12,0,0.0,0.0
2024-10-21,0,0,105,0,153,0,0.0,0.0
2024-10-22,0,0,103,0,112,0,0.0,0.0
2024-10-23,0,0,103,0,123,0,0.0,0.0
2024-10-24,0,0,111,0,145,0,0.0,0.0
2024-10-25,0,0,90,0,94,0,0.0,0.0
2024-10-27,0,0,0,0,12,0,0.0,0.0
2024-10-28,0,0,101,0,150,0,0.0,0.0
2024-10-29,0,0,118,0,153,0,0.0,0.0
2024-10-30,0,0,69,0,86,0,0.0,0.0
2024-10-31,0,0,111,0,152,0,0.0,0.0
2024-11-01,0,0,94,0,126,0,0.0,0.0
2024-11-03,0,0,4,0,0,0,0.0,0.0
2024-11-04,0,0,122,0,114,0,0.0,0.0
2024-11-05,0,0,113,0,143,0,0.0,0.0
2024-11-06,0,0,108,0,107,0,0.0,0.0
2024-11-07,0,0,105,0,117,0,0.0,0.0
2024-11-08,0,0,82,0,99,0,0.0,0.0
2024-11-10,0,0,18,0,0,0,0.0,0.0
2024-11-11,0,0,119,0,42,0,0.0,0.0
2024-11-12,0,0,109,0,155,0,0.0,0.0
2024-11-13,0,0,99,0,153,0,0.0,0.0
2024-11-14,0,0,113,0,120,0,0.0,0.0
2024-11-15,0,0,96,0,149,0,0.0,0.0
2024-11-17,0,0,16,0,0,0,0.0,0.0
2024-11-18,0,0,96,0,146,0,0.0,0.0
2024-11-19,0,0,110,0,151,0,0.0,0.0
2024-11-20,0,0,108,0,138,0,0.0,0.0
2024-11-21,0,0,108,0,102,0,0.0,0.0
2024-11-22,0,0,78,0,153,0,0.0,0.0
2024-11-24,0,0,4,0,0,0,0.0,0.0
2024-11-25,0,0,84,0,97,0,0.0,0.0
2024-11-26,0,0,105,0,86,0,0.0,0.0
2024-11-27,0,0,113,0,130,0,0.0,0.0
2024-11-28,0,0,140,0,106,0,0.0,0.0
2024-11-29,0,0,96,0,119,0,0.0,0.0
2024-12-01,0,0,16,0,0,0,0.0,0.0
2024-12-02,0,0,111,0,143,0,0.0,0.0
2024-12-03,0,0,113,0,115,0,0.0,0.0
2024-12-04,0,0,112,0,146,0,0.0,0.0
2024-12-05,0,0,115,0,153,0,0.0,0.0
2024-12-06,0,0,82,0,157,0,0.0,0.0
2024-12-08,0,0,0,0,0,0,0.0,0.0
2024-12-09,0,0,52,0,118,0,0.0,0.0
2024-12-10,0,0,90,0,116,0,0.0,0.0
2024-12-11,0,0,108,0,137,0,0.0,0.0
2024-12-12,0,0,83,0,116,0,0.0,0.0
2024-12-13,0,0,101,0,152,0,0.0,0.0
2024-12-15,0,0,15,0,0,0,0.0,0.0
2024-12-16,0,0,97,0,142,0,0.0,0.0
2024-12-17,0,0,94,0,156,0,0.0,0.0
2024-12-18,0,0,77,0,131,0,0.0,0.0
2024-12-19,0,0,113,0,153,0,0.0,0.0
2024-12-20,0,0,95,0,139,0,0.0,0.0
2024-12-22,0,0,13,0,0,0,0.0,0.0
2024-12-23,0,0,96,0,92,0,0.0,0.0
2024-12-24,0,0,81,0,99,0,0.0,0.0
2024-12-25,0,0,119,0,0,0,0.0,0.0
2024-12-26,0,0,128,0,137,0,0.0,0.0
2024-12-27,0,0,99,0,105,0,0.0,0.0
2024-12-29,0,0,12,0,0,0,0.0,0.0
2024-12-30,0,0,108,0,140,0,0.0,0.0
2024-12-31,0,0,96,0,146,0,0.0,0.0
2025-01-01,0,0,19,0,0,0,0.0,0.0
2025-01-02,0,0,99,0,138,0,0.0,0.0
2025-01-03,0,0,96,0,79,0,0.0,0.0
2025-01-05,0,0,18,0,0,0,0.0,0.0
2025-01-06,0,0,114,0,128,0,0.0,0.0
2025-01-07,0,0,109,0,131,0,0.0,0.0
2025-01-08,0,0,106,0,50,0,0.0,0.0
2025-01-09,0,0,125,0,108,0,0.0,0.0
2025-01-10,0,0,89,0,154,0,0.0,0.0
2025-01-12,0,0,14,0,0,0,0.0,0.0
2025-01-13,0,0,103,0,152,0,0.0,0.0
2025-01-14,0,0,95,0,143,0,0.0,0.0
2025-01-15,0,0,78,0,124,0,0.0,0.0
2025-01-16,0,0,111,0,140,0,0.0,0.0
2025-01-17,0,0,96,0,144,0,0.0,0.0
2025-01-19,0,0,19,0,0,0,0.0,0.0
2025-01-20,0,0,118,0,142,0,0.0,0.0
2025-01-21,0,0,102,0,150,0,0.0,0.0
2025-01-22,0,0,109,0,139,0,0.0,0.0
2025-01-23,0,0,108,0,128,0,0.0,0.0
2025-01-24,0,0,96,0,137,0,0.0,0.0
2025-01-26,0,0,13,0,0,0,0.0,0.0
2025-01-27,0,0,111,0,109,0,0.0,0.0
2025-01-28,0,0,120,0,135,0,0.0,0.0
2025-01-29,0,0,105,0,130,0,0.0,0.0
2025-01-30,0,0,106,0,124,0,0.0,0.0
2025-01-31,0,0,81,0,109,0,0.0,0.0
2025-02-02,0,0,13,0,0,0,0.0,0.0
2025-02-03,0,0,114,0,139,0,0.0,0.0
2025-02-04,0,0,115,0,142,0,0.0,0.0
2025-02-05,0,0,106,0,146,0,0.0,0.0
2025-02-06,0,0,104,0,138,0,0.0,0.0
2025-02-07,0,0,103,0,131,0,0.0,0.0
2025-02-09,0,0,19,0,0,0,0.0,0.0
2025-02-10,0,0,102,0,87,0,0.0,0.0
2025-02-11,0,0,80,0,115,0,0.0,0.0
2025-02-12,0,0,111,0,124,0,0.0,0.0
2025-02-13,0,0,106,0,157,0,0.0,0.0
2025-02-14,0,0,85,0,108,0,0.0,0.0
2025-02-16,0,0,13,0,0,0,0.0,0.0
2025-02-17,0,0,145,0,111,0,0.0,0.0
2025-02-18,0,0,107,0,139,0,0.0,0.0
2025-02-19,0,0,113,0,124,0,0.0,0.0
2025-02-20,0,0,103,0,126,0,0.0,0.0
2025-02-21,0,0,95,0,115,0,0.0,0.0
2025-02-23,0,0,11,0,0,0,0.0,0.0
2025-02-24,0,0,104,0,97,0,0.0,0.0
2025-02-25,0,0,91,0,154,0,0.0,0.0
2025-02-26,0,0,111,0,118,0,0.0,0.0
2025-02-27,0,0,108,0,157,0,0.0,0.0
2025-02-28,0,0,91,0,119,0,0.0,0.0
2025-03-02,0,0,16,0,0,0,0.0,0.0
2025-03-03,0,0,111,0,148,0,0.0,0.0
2025-03-04,0,0,105,0,140,0,0.0,0.0
2025-03-05,0,0,93,0,129,0,0.0,0.0
2025-03-06,0,0,102,0,146,0,0.0,0.0
2025-03-07,0,0,69,0,143,0,0.0,0.0
2025-03-09,0,0,13,0,10,0,0.0,0.0
2025-03-10,0,0,46,0,153,0,0.0,0.0
2025-03-11,0,0,81,0,142,0,0.0,0.0
2025-03-12,0,0,112,0,142,0,0.0,0.0
2025-03-13,0,0,99,0,151,0,0.0,0.0
2025-03-14,0,0,94,0,92,0,0.0,0.0
2025-03-16,0,0,17,0,12,0,0.0,0.0
2025-03-17,0,0,108,0,137,0,0.0,0.0
2025-03-18,0,0,116,0,150,0,0.0,0.0
2025-03-19,0,0,110,0,143,0,0.0,0.0
2025-03-20,0,0,111,0,125,0,0.0,0.0
2025-03-21,0,0,96,0,126,0,0.0,0.0
2025-03-23,0,0,8,0,12,0,0.0,0.0
2025-03-24,0,0,101,0,148,0,0.0,0.0
2025-03-25,0,0,105,0,106,0,0.0,0.0
2025-03-26,0,0,101,0,127,0,0.0,0.0
2025-03-27,0,0,98,0,131,0,0.0,0.0
2025-03-28,0,0,95,0,137,0,0.0,0.0
2025-03-30,0,0,18,0,12,0,0.0,0.0
2025-03-31,0,0,109,0,137,0,0.0,0.0
2025-04-01,0,0,81,0,131,0,0.0,0.0
2025-04-02,0,0,59,0,127,0,0.0,0.0
2025-04-03,0,0,102,0,135,0,0.0,0.0
2025-04-04,0,0,66,0,127,0,0.0,0.0
2025-04-06,0,0,6,0,0,0,0.0,0.0
2025-04-07,0,0,79,0,144,0,0.0,0.0
2025-04-08,0,0,109,0,132,0,0.0,0.0
2025-04-09,0,0,107,0,149,0,0.0,0.0
2025-04-10,0,0,101,0,150,0,0.0,0.0
2025-04-11,0,0,96,0,108,0,0.0,0.0
2025-04-13,0,0,9,0,12,0,0.0,0.0
2025-04-14,0,0,106,0,139,0,0.0,0.0
2025-04-15,0,0,66,0,146,0,0.0,0.0
2025-04-16,0,0,102,0,64,0,0.0,0.0
2025-04-17,0,0,110,0,153,0,0.0,0.0
2025-04-18,0,0,110,0,65,0,0.0,0.0
2025-04-20,0,0,12,0,12,0,0.0,0.0
2025-04-21,0,0,104,0,79,0,0.0,0.0
2025-04-22,0,0,100,0,125,0,0.0,0.0
2025-04-23,0,0,105,0,140,0,0.0,0.0
2025-04-24,0,0,100,0,134,0,0.0,0.0
2025-04-25,0,0,96,0,77,0,0.0,0.0
2025-04-27,0,0,17,0,0,0,0.0,0.0
2025-04-28,0,0,77,0,150,0,0.0,0.0
2025-04-29,0,0,98,0,96,0,0.0,0.0
2025-04-30,0,0,92,0,137,0,0.0,0.0
2025-05-01,0,0,101,0,119,0,0.0,0.0
2025-05-02,0,0,85,0,122,0,0.0,0.0
2025-05-04,0,0,10,0,12,0,0.0,0.0
2025-05-05,0,0,111,0,154,0,0.0,0.0
2025-05-06,0,0,95,0,104,0,0.0,0.0
2025-05-07,0,0,41,0,91,0,0.0,0.0
2025-05-08,0,0,110,0,155,0,0.0,0.0
2025-05-09,0,0,93,0,57,0,0.0,0.0
2025-05-11,0,0,17,0,12,0,0.0,0.0
2025-05-12,0,0,59,0,126,0,0.0,0.0
2025-05-13,0,0,101,0,104,0,0.0,0.0
2025-05-14,0,0,104,0,139,0,0.0,0.0
2025-05-15,0,0,108,0,62,0,0.0,0.0
2025-05-16,0,0,96,0,130,0,0.0,0.0
2025-05-18,0,0,1,0,12,0,0.0,0.0
2025-05-19,0,0,32,0,65,0,0.0,0.0
2025-05-20,0,0,87,0,143,0,0.0,0.0
2025-05-21,0,0,82,0,96,0,0.0,0.0
2025-05-22,0,0,106,0,155,0,0.0,0.0
2025-05-23,0,0,92,0,78,0,0.0,0.0
2025-05-25,0,0,0,0,12,0,0.0,0.0
2025-05-26,0,0,58,0,113,0,0.0,0.0
2025-05-27,0,0,103,0,150,0,0.0,0.0
2025-05-28,0,0,109,0,120,0,0.0,0.0
2025-05-29,0,0,102,0,131,0,0.0,0.0
2025-05-30,0,0,66,0,76,0,0.0,0.0
2025-06-01,0,0,6,0,0,0,0.0,0.0
2025-06-02,0,0,113,0,105,0,0.0,0.0
2025-06-03,0,0,100,0,142,0,0.0,0.0
2025-06-04,0,0,96,0,150,0,0.0,0.0
2025-06-05,0,0,99,0,131,0,0.0,0.0
2025-06-06,0,0,99,0,98,0,0.0,0.0
2025-06-08,0,0,17,0,0,0,0.0,0.0
2025-06-09,0,0,106,0,136,0,0.0,0.0
2025-06-10,0,0,104,0,117,0,0.0,0.0
2025-06-11,0,0,111,0,127,0,0.0,0.0
2025-06-12,0,0,106,0,141,0,0.0,0.0
2025-06-13,0,0,94,0,138,0,0.0,0.0
2025-06-15,0,0,2,0,8,0,0.0,0.0
2025-06-16,0,0,58,0,134,0,0.0,0.0
2025-06-17,0,0,107,0,128,0,0.0,0.0
2025-06-18,0,0,93,0,143,0,0.0,0.0
2025-06-19,0,0,71,0,113,0,0.0,0.0
2025-06-20,0,0,90,0,133,0,0.0,0.0
2025-06-22,0,0,10,0,12,0,0.0,0.0
2025-06-23,0,0,77,0,149,0,0.0,0.0
2025-06-24,0,0,104,0,106,0,0.0,0.0
2025-06-25,0,0,103,0,153,0,0.0,0.0
2025-06-26,0,0,109,0,80,0,0.0,0.0
2025-06-27,0,0,64,0,75,0,0.0,0.0
2025-06-29,0,0,7,0,8,0,0.0,0.0
2025-06-30,0,0,96,0,132,0,0.0,0.0
2025-07-01,0,0,109,0,148,0,0.0,0.0
2025-07-02,0,0,109,0,89,0,0.0,0.0
2025-07-03,0,0,110,0,61,0,0.0,0.0
2025-07-04,0,0,129,0,44,0,0.0,0.0
2025-07-06,0,0,0,0,11,0,0.0,0.0
2025-07-07,0,0,91,0,149,0,0.0,0.0
2025-07-08,0,0,91,0,109,0,0.0,0.0
2025-07-09,0,0,108,0,129,0,0.0,0.0
2025-07-10,0,0,97,0,130,0,0.0,0.0
2025-07-11,0,0,96,0,125,0,0.0,0.0
2025-07-13,0,0,13,0,12,0,0.0,0.0
2025-07-14,0,0,90,0,108,0,0.0,0.0
2025-07-15,0,0,81,0,149,0,0.0,0.0
2025-07-16,0,0,81,0,131,0,0.0,0.0
2025-07-17,0,0,114,0,53,0,0.0,0.0
2025-07-18,0,0,88,0,124,0,0.0,0.0
2025-07-20,0,0,4,0,12,0,0.0,0.0
2025-07-21,0,0,41,0,156,0,0.0,0.0
2025-07-22,0,0,109,0,150,0,0.0,0.0
2025-07-23,0,0,106,0,70,0,0.0,0.0
2025-07-24,0,0,109,0,132,0,0.0,0.0
2025-07-25,0,0,67,0,53,0,0.0,0.0
2025-07-27,0,0,14,0,0,0,0.0,0.0
2025-07-28,0,0,100,0,132,0,0.0,0.0
2025-07-29,0,0,109,0,120,0,0.0,0.0
2025-07-30,0,0,117,0,119,0,0.0,0.0
2025-07-31,0,0,107,0,156,0,0.0,0.0
2025-08-01,0,0,91,0,131,0,0.0,0.0
2025-08-03,0,0,14,0,12,0,0.0,0.0
2025-08-04,0,0,112,0,86,0,0.0,0.0
2025-08-05,0,0,90,0,99,0,0.0,0.0
2025-08-06,0,0,106,0,103,0,0.0,0.0
2025-08-07,0,0,96,0,148,0,0.0,0.0
2025-08-08,0,0,95,0,102,0,0.0,0.0
2025-08-10,0,0,8,0,11,0,0.0,0.0
2025-08-11,0,0,85,0,152,0,0.0,0.0
2025-08-12,0,0,113,0,129,0,0.0,0.0
2025-08-13,0,0,112,0,112,0,0.0,0.0
2025-08-14,0,0,112,0,124,0,0.0,0.0
2025-08-15,0,0,104,0,90,0,0.0,0.0
2025-08-17,0,0,14,0,10,0,0.0,0.0
2025-08-18,0,0,110,0,52,0,0.0,0.0
2025-08-19,0,0,87,0,132,0,0.0,0.0
2025-08-20,0,0,98,0,122,0,0.0,0.0
2025-08-21,0,0,108,0,144,0,0.0,0.0
2025-08-22,0,0,95,0,136,0,0.0,0.0
2025-08-24,0,0,18,0,12,0,0.0,0.0
2025-08-25,0,0,108,0,109,0,0.0,0.0
2025-08-26,0,0,77,0,143,0,0.0,0.0
2025-08-27,0,0,115,0,136,0,0.0,0.0
2025-08-28,0,0,113,0,147,0,0.0,0.0
2025-08-29,0,0,78,0,143,0,0.0,0.0
2025-08-31,0,0,15,0,11,0,0.0,0.0
2025-09-01,0,0,115,0,55,0,0.0,0.0
2025-09-02,0,0,111,0,115,0,0.0,0.0
2025-09-03,0,0,114,0,126,0,0.0,0.0
2025-09-04,0,0,102,0,90,0,0.0,0.0
2025-09-05,0,0,96,0,81,0,0.0,0.0
2025-09-07,0,0,18,0,12,0,0.0,0.0
2025-09-08,0,0,58,0,124,0,0.0,0.0
2025-09-09,0,0,113,0,138,0,0.0,0.0
2025-09-10,0,0,112,0,41,0,0.0,0.0
2025-09-11,0,0,110,0,144,0,0.0,0.0
2025-09-12,0,0,96,0,115,0,0.0,0.0
2025-09-14,0,0,2,0,11,0,0.0,0.0
2025-09-15,0,0,106,0,86,0,0.0,0.0
2025-09-16,0,0,109,0,149,0,0.0,0.0
2025-09-17,0,0,125,0,117,0,0.0,0.0
2025-09-18,0,0,88,0,70,0,0.0,0.0
2025-09-19,0,0,93,0,90,0,0.0,0.0
2025-09-21,0,0,16,0,7,0,0.0,0.0
2025-09-22,0,0,109,0,84,0,0.0,0.0
2025-09-23,0,0,95,0,137,0,0.0,0.0
2025-09-24,0,0,112,0,130,0,0.0,0.0
2025-09-25,0,0,98,0,125,0,0.0,0.0
2025-09-26,0,0,85,0,86,0,0.0,0.0
2025-09-28,0,0,9,0,11,0,0.0,0.0
2025-09-29,0,0,111,0,116,0,0.0,0.0
2025-09-30,0,0,95,0,7,0,0.0,0.0
2025-10-02,0,0,2,0,64,0,0.0,0.0
